Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Best Test Accuracy,Time Taken (s)
93,1.2614,67.05,0.9576,80.61,0.000692,80.61,25.02
94,1.2489,67.67,0.9578,80.60,0.000673,80.61,23.26
95,1.2428,67.86,0.9434,81.27,0.000655,81.27,23.58
96,1.2561,67.26,0.9542,80.77,0.000636,81.27,23.12
97,1.2504,67.52,0.9434,81.19,0.000617,81.27,23.10
98,1.2479,67.61,0.9360,81.34,0.000598,81.34,23.02
99,1.2424,67.88,0.9415,81.32,0.000579,81.34,22.99
100,1.2425,67.99,0.9575,80.37,0.000559,81.34,23.86
101,1.2316,68.35,0.9318,82.02,0.000540,82.02,23.08
102,1.2390,68.22,0.9409,81.08,0.000520,82.02,23.17
103,1.2321,68.43,0.9460,81.02,0.000501,82.02,23.04
104,1.2287,68.53,0.9323,81.63,0.000481,82.02,23.02
105,1.2226,69.01,0.9260,82.30,0.000461,82.30,23.78
106,1.2165,69.10,0.9273,82.10,0.000442,82.30,23.94
107,1.2179,69.27,0.9198,82.26,0.000422,82.30,23.79
108,1.2214,69.06,0.9352,81.93,0.000403,82.30,23.72
109,1.2152,69.53,0.9252,82.17,0.000384,82.30,23.69
110,1.2134,69.45,0.9153,82.73,0.000365,82.73,23.66
111,1.2074,69.53,0.9168,82.76,0.000346,82.76,23.52
112,1.2057,69.69,0.9153,82.65,0.000328,82.76,23.09
113,1.2056,69.81,0.9146,82.66,0.000309,82.76,23.28
114,1.2016,70.07,0.9178,82.31,0.000291,82.76,23.23
115,1.2064,69.89,0.9127,82.51,0.000274,82.76,23.13
116,1.1973,70.12,0.9086,82.72,0.000256,82.76,23.21
117,1.1977,70.11,0.9094,82.64,0.000240,82.76,23.06
118,1.1841,70.88,0.9006,83.29,0.000223,83.29,23.14
119,1.1859,70.49,0.9033,83.14,0.000207,83.29,23.13
120,1.1889,70.52,0.9063,83.03,0.000191,83.29,23.15
121,1.1856,70.82,0.8995,83.26,0.000176,83.29,23.21
122,1.1960,69.99,0.9004,83.37,0.000161,83.37,23.22
123,1.1894,70.44,0.9035,83.17,0.000147,83.37,23.17
124,1.1738,71.18,0.9047,82.93,0.000134,83.37,23.19
125,1.1872,70.67,0.8995,83.08,0.000121,83.37,23.76
126,1.1843,70.91,0.8998,83.09,0.000108,83.37,23.79
127,1.1792,70.96,0.9017,83.34,0.000096,83.37,23.52
128,1.1781,70.96,0.8965,83.54,0.000085,83.54,23.56
129,1.1858,70.73,0.8979,83.44,0.000075,83.54,23.77
130,1.1852,70.75,0.8971,83.31,0.000065,83.54,23.66
131,1.1795,71.02,0.8947,83.33,0.000055,83.54,23.53
132,1.1642,71.74,0.8952,83.40,0.000047,83.54,23.43
133,1.1785,71.14,0.8978,83.30,0.000039,83.54,23.54
134,1.1784,71.11,0.8930,83.63,0.000032,83.63,23.59
135,1.1780,71.09,0.8936,83.42,0.000025,83.63,23.35
136,1.1731,71.38,0.8924,83.61,0.000020,83.63,23.41
137,1.1696,71.57,0.8931,83.47,0.000015,83.63,23.62
138,1.1754,71.22,0.8925,83.46,0.000011,83.63,23.39
139,1.1776,70.96,0.8953,83.43,0.000007,83.63,23.27
140,1.1673,71.68,0.8967,83.14,0.000004,83.63,23.29
141,1.1766,71.12,0.8964,83.32,0.000003,83.63,23.16
142,1.1771,71.11,0.8918,83.67,0.000001,83.67,23.30
143,1.2424,67.75,0.9821,79.72,0.001000,83.67,23.12
144,1.2558,67.51,0.9424,81.31,0.001000,83.67,23.13
145,1.2526,67.48,0.9480,81.18,0.001000,83.67,23.09
146,1.2553,67.35,0.9611,80.38,0.000999,83.67,23.04
147,1.2531,67.78,0.9501,80.82,0.000998,83.67,23.02
148,1.2519,67.59,0.9460,81.00,0.000998,83.67,23.68
149,1.2581,66.94,0.9448,80.87,0.000997,83.67,23.58
150,1.2484,67.94,0.9448,81.12,0.000995,83.67,23.53
151,1.2466,67.78,0.9434,81.07,0.000994,83.67,23.64
152,1.2410,68.13,0.9474,80.91,0.000992,83.67,23.43
153,1.2470,67.74,0.9540,80.92,0.000990,83.67,23.61
154,1.2443,67.96,0.9445,81.47,0.000988,83.67,23.20
155,1.2450,67.87,0.9392,81.40,0.000986,83.67,23.29
156,1.2382,68.11,0.9455,81.11,0.000984,83.67,23.40
157,1.2371,68.46,0.9465,80.86,0.000981,83.67,23.26
158,1.2389,68.34,0.9412,81.65,0.000978,83.67,23.59
159,1.2365,68.34,0.9319,81.82,0.000976,83.67,23.31
160,1.2338,68.35,0.9482,80.90,0.000972,83.67,23.46
161,1.2407,68.17,0.9544,80.92,0.000969,83.67,23.31
162,1.2309,68.31,0.9503,80.91,0.000966,83.67,23.34
163,1.2379,68.11,0.9343,81.52,0.000962,83.67,23.36
164,1.2256,68.71,0.9535,81.06,0.000958,83.67,23.22
165,1.2256,68.92,0.9382,81.91,0.000954,83.67,23.41
166,1.2283,68.70,0.9421,81.38,0.000950,83.67,23.37
167,1.2243,68.89,0.9199,82.18,0.000946,83.67,23.47
168,1.2140,69.26,0.9195,82.30,0.000941,83.67,23.32
169,1.2204,69.10,0.9500,80.70,0.000936,83.67,23.43
170,1.2281,68.56,0.9452,81.23,0.000931,83.67,23.46
171,1.2283,68.62,0.9361,81.76,0.000926,83.67,23.21
172,1.2193,69.01,0.9420,81.32,0.000921,83.67,23.42
173,1.2166,69.15,0.9314,82.07,0.000916,83.67,23.28
174,1.2099,69.67,0.9265,82.14,0.000910,83.67,23.27
175,1.2168,69.37,0.9294,82.04,0.000905,83.67,23.29
176,1.2137,69.32,0.9147,82.41,0.000899,83.67,23.35
177,1.2139,69.27,0.9240,81.85,0.000893,83.67,23.37
178,1.2089,69.38,0.9168,82.39,0.000887,83.67,23.43
179,1.2075,69.96,0.9222,82.33,0.000880,83.67,23.21
180,1.2047,69.88,0.9098,82.67,0.000874,83.67,23.12
181,1.2087,69.55,0.9140,82.83,0.000867,83.67,23.12
182,1.2049,69.75,0.9192,82.49,0.000861,83.67,23.33
183,1.2046,69.55,0.9057,82.90,0.000854,83.67,23.27
184,1.2097,69.68,0.9239,82.34,0.000847,83.67,23.02
185,1.2050,69.97,0.9064,83.23,0.000840,83.67,23.05
186,1.1974,70.01,0.9246,82.14,0.000832,83.67,23.01
187,1.2005,69.86,0.9196,82.29,0.000825,83.67,23.16
188,1.1987,69.98,0.9164,83.01,0.000817,83.67,22.90
189,1.1966,70.09,0.9210,82.45,0.000810,83.67,23.37
190,1.1960,70.07,0.9140,82.20,0.000802,83.67,23.18
191,1.1928,70.46,0.9151,82.48,0.000794,83.67,23.12
192,1.2020,69.78,0.9099,82.74,0.000786,83.67,22.94
193,1.1858,70.54,0.9055,82.86,0.000778,83.67,23.02
194,1.1906,70.63,0.9015,83.18,0.000770,83.67,23.10
195,1.1886,70.45,0.8973,83.18,0.000761,83.67,23.26
196,1.1866,70.57,0.9073,82.53,0.000753,83.67,23.12
197,1.1859,70.73,0.9034,83.03,0.000745,83.67,23.02
198,1.1847,70.80,0.8940,83.52,0.000736,83.67,22.93
199,1.1837,70.59,0.8946,83.05,0.000727,83.67,23.06
200,1.1777,71.08,0.8961,83.37,0.000718,83.67,23.12
201,1.1929,70.35,0.8959,83.18,0.000710,83.67,23.16
202,1.1876,70.42,0.8873,83.46,0.000701,83.67,23.29
203,1.1847,70.69,0.8855,83.83,0.000692,83.83,23.39
204,1.1807,70.81,0.8969,83.45,0.000683,83.83,23.16
205,1.1693,71.45,0.8969,83.28,0.000673,83.83,23.03
206,1.1712,71.54,0.8894,83.94,0.000664,83.94,23.08
207,1.1695,71.49,0.9103,82.82,0.000655,83.94,23.17
208,1.1756,70.95,0.9106,82.72,0.000645,83.94,23.23
209,1.1675,71.54,0.9158,82.72,0.000636,83.94,23.23
210,1.1727,71.25,0.8856,83.52,0.000627,83.94,23.06
211,1.1687,71.45,0.8861,84.03,0.000617,84.03,23.01
212,1.1693,71.44,0.8940,83.37,0.000608,84.03,23.28
213,1.1646,71.56,0.8935,83.54,0.000598,84.03,23.34
214,1.1609,71.89,0.8892,83.44,0.000588,84.03,23.17
215,1.1633,71.70,0.8931,83.57,0.000579,84.03,23.12
216,1.1621,71.82,0.8910,83.55,0.000569,84.03,23.10
217,1.1635,71.72,0.8805,83.91,0.000559,84.03,23.16
218,1.1597,71.97,0.8762,84.53,0.000549,84.53,23.19
219,1.1684,71.66,0.8800,84.34,0.000540,84.53,23.11
220,1.1654,71.58,0.8888,83.76,0.000530,84.53,23.22
221,1.1548,72.24,0.8694,84.44,0.000520,84.53,23.21
222,1.1549,72.06,0.8816,83.97,0.000510,84.53,23.25
223,1.1602,71.90,0.8765,84.07,0.000501,84.53,23.34
224,1.1503,72.37,0.8761,84.18,0.000491,84.53,23.05
225,1.1596,71.85,0.8695,84.52,0.000481,84.53,23.06
226,1.1517,72.11,0.8714,84.45,0.000471,84.53,23.44
227,1.1529,72.35,0.8710,84.26,0.000461,84.53,23.46
228,1.1563,72.15,0.8638,84.62,0.000452,84.62,23.39
229,1.1530,72.06,0.8672,84.76,0.000442,84.76,23.36
230,1.1485,72.35,0.8703,84.26,0.000432,84.76,23.34
231,1.1519,72.27,0.8637,84.72,0.000422,84.76,23.32
232,1.1447,72.70,0.8733,84.42,0.000413,84.76,23.21
233,1.1398,72.86,0.8719,84.40,0.000403,84.76,23.27
234,1.1451,72.58,0.8678,84.72,0.000393,84.76,23.36
235,1.1413,72.71,0.8657,84.45,0.000384,84.76,23.18
236,1.1375,73.00,0.8684,84.61,0.000374,84.76,23.14
237,1.1447,72.55,0.8608,85.16,0.000365,85.16,23.20
238,1.1400,72.98,0.8635,84.84,0.000356,85.16,23.25
239,1.1352,72.95,0.8598,85.02,0.000346,85.16,23.34
240,1.1326,73.17,0.8680,84.67,0.000337,85.16,23.17
241,1.1356,73.01,0.8598,84.86,0.000328,85.16,23.22
242,1.1361,72.94,0.8593,84.87,0.000318,85.16,23.19
243,1.1285,73.27,0.8614,84.81,0.000309,85.16,22.94
244,1.1356,72.95,0.8585,85.19,0.000300,85.19,23.04
245,1.1325,73.10,0.8540,85.46,0.000291,85.46,23.39
246,1.1336,73.07,0.8544,84.95,0.000283,85.46,23.31
247,1.1241,73.39,0.8544,85.04,0.000274,85.46,22.87
248,1.1237,73.56,0.8611,85.07,0.000265,85.46,23.09
249,1.1286,73.37,0.8596,84.99,0.000256,85.46,22.84
250,1.1345,73.04,0.8602,84.75,0.000248,85.46,23.37
251,1.1281,73.29,0.8645,84.65,0.000240,85.46,23.20
252,1.1209,73.55,0.8630,84.85,0.000231,85.46,23.29
253,1.1353,72.93,0.8583,84.99,0.000223,85.46,23.09
254,1.1278,73.41,0.8571,85.03,0.000215,85.46,23.17
255,1.1198,73.60,0.8593,84.99,0.000207,85.46,23.37
256,1.1229,73.85,0.8553,85.23,0.000199,85.46,23.39
257,1.1236,73.50,0.8538,85.39,0.000191,85.46,23.20
258,1.1203,73.74,0.8517,85.62,0.000184,85.62,22.89
259,1.1220,73.72,0.8492,85.55,0.000176,85.62,23.08
260,1.1193,73.85,0.8541,85.33,0.000169,85.62,23.29
261,1.1157,73.98,0.8556,85.28,0.000161,85.62,23.24
262,1.1167,73.87,0.8519,85.38,0.000154,85.62,23.15
263,1.1203,73.84,0.8493,85.51,0.000147,85.62,23.16
264,1.1147,73.94,0.8502,85.49,0.000140,85.62,23.11
265,1.1159,74.05,0.8540,85.36,0.000134,85.62,23.04
266,1.1140,74.15,0.8511,85.38,0.000127,85.62,23.11
267,1.1156,73.95,0.8505,85.40,0.000121,85.62,22.93
268,1.1133,73.99,0.8497,85.34,0.000114,85.62,22.98
269,1.1125,74.05,0.8487,85.34,0.000108,85.62,23.04
270,1.1114,74.11,0.8469,85.49,0.000102,85.62,23.04
271,1.1100,74.28,0.8449,85.64,0.000096,85.64,22.91
272,1.1121,74.17,0.8490,85.23,0.000091,85.64,23.18
273,1.1123,74.13,0.8480,85.40,0.000085,85.64,23.03
274,1.1085,74.39,0.8493,85.58,0.000080,85.64,23.09
275,1.1061,74.40,0.8492,85.39,0.000075,85.64,22.95
276,1.1096,74.25,0.8457,85.76,0.000070,85.76,23.08
277,1.1076,74.24,0.8481,85.66,0.000065,85.76,23.10
278,1.1066,74.30,0.8441,85.57,0.000060,85.76,23.01
279,1.1088,74.36,0.8471,85.51,0.000055,85.76,23.05
280,1.1074,74.29,0.8430,85.88,0.000051,85.88,23.10
281,1.1052,74.55,0.8448,85.76,0.000047,85.88,23.08
282,1.0968,74.76,0.8451,85.58,0.000043,85.88,23.11
283,1.1095,73.93,0.8437,85.83,0.000039,85.88,23.10
284,1.1033,74.47,0.8427,85.74,0.000035,85.88,23.28
285,1.0991,74.77,0.8449,85.69,0.000032,85.88,23.29
286,1.1002,74.85,0.8445,85.61,0.000029,85.88,23.42
287,1.1004,74.76,0.8453,85.53,0.000025,85.88,23.34
288,1.1016,74.60,0.8444,85.60,0.000023,85.88,23.62
289,1.1001,74.69,0.8425,85.80,0.000020,85.88,23.30
290,1.1026,74.64,0.8435,85.78,0.000017,85.88,23.49
291,1.1024,74.55,0.8436,85.91,0.000015,85.91,23.46
292,1.1017,74.57,0.8432,85.84,0.000013,85.91,73.94
293,1.1059,74.39,0.8424,85.75,0.000011,85.91,23.73
294,1.1025,74.54,0.8443,85.76,0.000009,85.91,23.35
295,1.1008,74.56,0.8421,85.87,0.000007,85.91,23.38
296,1.1059,74.28,0.8406,85.72,0.000006,85.91,23.37
297,1.1028,74.46,0.8420,85.48,0.000004,85.91,23.42
298,1.0991,74.70,0.8407,85.93,0.000003,85.93,23.33
299,1.1086,74.21,0.8431,85.67,0.000003,85.93,23.33
300,1.1059,74.31,0.8423,85.78,0.000002,85.93,23.33
